"","Price.Earnings","Earnings.Share","Market.Cap","Dividend.Yield","Price.Sales","Price.Book"
"2",37.76,6.25,3572851277824,0.0042,9.1369095,62.649323
"3",64.3007,2.86,324977033216,0.0373,5.8519626,53.88221
"5",16.744764,7.64,221889478656,0.0202,5.3834457,5.5757494
"7",32.294464,11.92,240778526720,0.017,3.7101948,8.508687
"9",64.798164,3.27,105128370176,0.0165,10.837489,2.9895453
"10",14.39045,3.56,24515297280,0.0379,0.27617267,1.0890499
"11",31.629438,9.58,123285987328,0.020599999,6.3149424,27.192858
"13",22.164705,4.25,25144616960,0.028499998,3.5625699,2.124732
"14",19.830645,4.96,52383092736,0.0379,2.6723068,1.967633
"15",7.6388884,1.44,7821297152,0.0615,0.63670605,2.3773503
"16",15.955423,6.73,59652595712,0.0214,3.4477284,2.4075692
"17",14.644135,5.03,45946826752,0.0212,1.0143012,1.0308154
"18",15.381701,13.99,11036535808,0.0146,0.93881625,2.1037042
"19",46.505394,6.49,75395547136,0.0087,7.067648,5.4349666
"23",12.432449,15.47,50929561600,0.019,0.8157605,2.7001262
"24",20.42,6.5,11538124800,0.014400001,3.098315,7.3441043
"25",21.093567,8.55,147683934208,0.0086,5.499513,7.8917427
"26",18.339624,0.53,14092055552,0.0523,1.0400041,3.5827498
"28",32.09739,5.75,42690203648,0.006,6.1776185,4.470064
"29",36.220814,7.88,153422675968,0.0335,4.7157645,20.38132
"30",21.795425,24.93,52271230976,0.010299999,2.9963448,9.243331
"31",44.673912,4.14,86425100288,0.0349,7.7388453,23.732836
"36",31.72113,11.69,80195756032,0.0073,5.37289,12.857391
"37",18.539946,3.63,9758164992,0.0196,2.5060778,5.091157
"38",3.115057,7.04,8112937984,0.0435,0.9059674,1.5862569
"39",19.469223,17.22,74554785792,0.0214,6.1612473,4.380537
"40",36.864582,1.92,85333073920,0.0091,5.9956913,9.025759
"42",54.083332,1.8,16850505728,0.051999997,5.461276,0.9204281
"43",20.8653,6.83,22180255744,0.023699999,5.416576,1.8157609
"44",30.260927,7.32,31506915328,0.0309,10.767874,2.6475194
"45",171.52715,1.29,1037172146176,0.0117,22.154697,3.7363436
"46",21.29931,8.72,14922736640,0.0182,1.7191103,6.240927
"47",24.681187,5.05,24291588096,0.0247,5.380197,2.3443112
"49",22.772598,13.94,223902892032,0.0086,3.7796535,7.523047
"52",14.423676,3.21,352382812160,0.0221,3.7239535,1.308982
"53",23.208332,2.4,16622327808,0.0143,1.2058272,2.5007856
"54",130.24,0.25,16624745472,0.020499999,1.1037542,2.1114066
"55",14.702055,5.84,18356525056,0.0404,0.43154255,6.0575705
"56",42.25256,5.86,71805984768,0.0175,3.6214435,2.7674081
"57",26.164705,0.85,11653382144,0.0635,1.3745438,0.9309724
"59",9.648923,7.89,10629804032,0.035,0.19503513,1.0488104
"61",14.815516,5.8,61670244352,0.0248,3.4644256,1.659489
"63",15.496644,2.98,45696311296,0.020599999,1.6738576,2.8213587
"65",25.607143,42,166572376064,0.0212,8.603501,3.8642988
"67",41.143353,5.79,27845298176,0.0147,4.284815,12.822003
"69",30.248556,3.46,29928366080,0.0057,6.5651097,4.630769
"71",7.8960395,4.04,6976529920,0.0134000005,0.49237984,1.1332954
"72",48.79063,3.63,216281432064,0.0186,19.417854,19.407187
"73",31.800001,2.3,12904675328,0.053600002,3.8590477,2.006309
"74",13.755068,5.92,153659228160,0.0286,2.217049,0.7990619
"75",25.135923,1.03,12357814272,0.0512,1.0348368,1.4667724
"77",38.686386,1.69,59190083584,0.0136,2.3866007,3.9948673
"78",16.845352,22.05,179331973120,0.0143,2.7310545,9.245321
"79",12.083556,22.5,108943409152,0.0134000005,1.991762,1.6663909
"80",27.875853,7.33,21390489600,0.012200001,5.4076476,5.0824566
"82",31.659575,2.82,38800912384,0.070300005,5.885168,7.3330593
"85",24.31502,8.19,26538192896,0.0126,1.2739638,11.291037
"86",7.0756974,10.04,7765524480,0.0388,0.7410559,1.0671314
"87",34.01134,8.82,96526368768,0.0046,4.0249505,7.4696217
